Time,ABSOLUTE_TIME,Plane_Altitude,Indicated_Altitude,Airspeed_True,Airspeed_Indicated,Plane_Pitch_Degrees,Plane_Bank_Degrees,Plane_Heading_Degrees_True,Plane_Heading_Degrees_Magnetic,Acceleration_Body_X,Acceleration_Body_Y,Acceleration_Body_Z,Plane_Latitude,Plane_Longitude,Incidence_Alpha,Incidence_Beta,Rotation_Velocity_Body_X,Rotation_Velocity_Body_Y,Rotation_Velocity_Body_Z,General_Eng_RPM_1,General_Eng_RPM_2,General_Eng_RPM_3,General_Eng_RPM_4,Elevator_Deflection,Rudder_Deflection,Aileron_Left_Deflection,Aileron_Right_Deflection,Trailing_Edge_Flaps_Left_Angle,Trailing_Edge_Flaps_Right_Angle,Leading_Edge_Flaps_Left_Angle,Leading_Edge_Flaps_Right_Angle,Spoilers_Left_Position,Spoilers_Right_Position,Gear_Center_Position,Gear_Left_Position,Gear_Right_Position
1.388801575,63726135142,2245.374014,2250.723633,115.8041,112.5153046,12.03415726,-4.346892897,280.6589692,267.7850726,0.051223303,-0.230934483,0.024976418,34.15198375,-118.3681988,1.913264906,0.563184689,2.150219817,1.005947523,-19.2736483,3672.999452,3673.01036,0,0,0,0,5.093597976,8.489329961,42,42,0,0,0,0,1,1,1
1.555496216,63726135143,2238.562988,2244.05542,115.9195786,112.6064606,12.3531288,-6.669749103,280.7967211,267.9228245,0.082651007,-0.203100437,0.030986503,34.1519981,-118.3682832,1.870036212,0.598888969,2.1182548,1.292952352,-12.64257989,3670.145522,3670.157128,0,0,0,0,0.717643722,1.19607287,42,42,0,0,0,0,1,1,1
1.611099243,63726135143,2233.994525,2239.576416,115.9974518,112.6801758,12.56494662,-7.568380281,280.9022173,268.0283208,0.103124273,-0.202101463,0.032859088,34.15200761,-118.3683389,1.837759726,0.605455716,2.0723602,1.445359221,-7.209386603,3668.459065,3668.471114,0,0,0,0,0,0,42,42,0,0,0,0,1,1,1
1.722198486,63726135143,2230.586585,2236.226318,116.0611801,112.7360382,12.71992362,-7.948075924,280.9878645,268.1139679,0.114132397,-0.203989492,0.034514966,34.15201465,-118.3683799,1.821405692,0.594806597,2.033175694,1.552253618,-4.478205846,3667.308718,3667.321086,0,0,0,0,0,0,42,42,0,0,0,0,1,1,1
1.777702332,63726135143,2225.708121,2231.42749,116.2026749,112.8379135,12.93416872,-8.218579859,281.1212493,268.2473527,0.120888073,-0.214602327,0.03663285,34.15202467,-118.3684379,1.811197761,0.526692429,1.886246203,1.691412115,-1.606077004,3665.865585,3665.878391,0,0,0.365372013,0,-1.995746343,-1.197447806,42,42,0,0,0,0,1,1,1
1.944396973,63726135143,2218.719663,2224.561523,116.288147,112.9774628,13.15749798,-7.965668086,281.339507,268.4656104,0.122258034,-0.197544024,0.040819327,34.15203888,-118.3685194,1.908088904,0.495463256,0.989906923,1.809565722,4.809062857,3664.10148,3664.11488,0,0,0.06609496,0,-4.092546002,-2.455527601,42,42,0,0,0,0,1,1,1
2.055496216,63726135143,2213.134534,2219.087891,116.4015884,113.1001205,13.30308517,-7.363130252,281.5268255,268.6529289,0.12405912,-0.162654721,0.044577656,34.15205014,-118.3685834,1.967544847,0.39186935,1.264050929,1.887781457,4.674190936,3662.956493,3662.970341,0,0,0,0,-0.305040357,-0.183024214,42,42,0,0,0,0,1,1,1
2.111099243,63726135143,2209.206554,2215.220703,116.4853745,113.1711197,13.42385828,-7.03604526,281.6598798,268.7859833,0.119345369,-0.157050928,0.046312621,34.15205804,-118.368628,1.981354635,0.310194509,1.489505147,1.919673878,3.232933755,3662.239558,3662.253709,0,0,0,0,0.087896022,0.14649337,42,42,0,0,0,0,1,1,1
2.333297729,63726135143,2199.31424,2205.444092,116.7237549,113.3828201,13.78835986,-6.826767491,281.9909399,269.1170433,0.127864102,-0.194654846,0.048754769,34.15207787,-118.3687385,1.93407756,0.058297866,1.919211021,1.946795303,-3.394089014,3660.919108,3660.93398,0,0,0,0,4.750215403,7.917025671,42,42,0,0,0,0,1,1,1
2.444396973,63726135144,2191.325654,2197.544434,116.8688126,113.5460052,14.11555325,-8.095667969,282.2489622,269.3750657,0.147456247,-0.212709365,0.050677226,34.15209378,-118.3688259,1.911793214,-0.08936897,2.021546483,1.983523619,-14.57478127,3660.260125,3660.275537,0,0,0,0,7.650214363,12.75035727,42,42,0,0,0,0,1,1,1
2.499900818,63726135144,2189.811951,2196.053711,116.9127274,113.5764847,14.17888788,-8.509723441,282.2967704,269.4228739,0.151670493,-0.214017884,0.051584891,34.15209678,-118.3688422,1.918976012,-0.074226834,2.022902121,1.990692951,-16.14397695,3660.173394,3660.188904,0,0,0,0,7.650214363,12.75035727,42,42,0,0,0,0,1,1,1
2.722198486,63726135144,2176.113288,2182.527588,117.1870956,113.8694305,14.75855323,-13.42210539,282.7009402,269.8270437,0.216310517,-0.194345122,0.062654001,34.15212383,-118.3689872,1.851157996,-0.067679811,1.962774094,2.026441684,-22.71395206,3659.916749,3659.933093,0,0,0,0,5.917196138,9.861993564,42,42,0,0,0,0,1,1,1
